"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test with steps","This test will create a new categories and verify its generated","SUCCESS","2022-01-11T21:23:20.596Z[Europe/London]","0.0","9.2"
"Categories CRUD test with steps","This test will get the categories information by ID","SUCCESS","2022-01-11T21:23:29.857Z[Europe/London]","0.0","0.29"
"Categories CRUD test with steps","This test will update the categories information and verify the updated information","SUCCESS","2022-01-11T21:23:30.176Z[Europe/London]","0.0","0.35"
"Categories CRUD test with steps","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2022-01-11T21:23:30.528Z[Europe/London]","0.0","0.45"
"Product CURD test with steps","This test will create a new products and verify its generated","SUCCESS","2022-01-11T21:23:33.815Z[Europe/London]","0.0","0.3"
"Product CURD test with steps","This test will get the product information by ID","SUCCESS","2022-01-11T21:23:34.113Z[Europe/London]","0.0","0.06"
"Product CURD test with steps","This test will update the product information and verify the updated information","FAILURE","2022-01-11T21:23:34.178Z[Europe/London]","0.0","0.63"
"Product CURD test with steps","This test will delete the product information and verify the product is deleted ","SUCCESS","2022-01-11T21:23:34.811Z[Europe/London]","0.0","0.36"
"Services CRUD test with steps","This test will create a new services and verify its generated","SUCCESS","2022-01-11T21:23:35.371Z[Europe/London]","0.0","0.47"
"Services CRUD test with steps","This test will get the services information by ID","SUCCESS","2022-01-11T21:23:35.841Z[Europe/London]","0.0","0.05"
"Services CRUD test with steps","This test will update the services information and verify the updated information","SUCCESS","2022-01-11T21:23:35.891Z[Europe/London]","0.0","0.3"
"Services CRUD test with steps","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2022-01-11T21:23:36.192Z[Europe/London]","0.0","0.18"
"Stores CURD test with steps","This test will create a new stores and verify its generated","SUCCESS","2022-01-11T21:23:36.667Z[Europe/London]","0.0","0.33"
"Stores CURD test with steps","This test will get the stores information by ID","SUCCESS","2022-01-11T21:23:36.996Z[Europe/London]","0.0","0.06"
"Stores CURD test with steps","This test will update the store information and verify the updated information","SUCCESS","2022-01-11T21:23:37.054Z[Europe/London]","0.0","0.23"
"Stores CURD test with steps","This test will delete the store and verify the store is deleted ","SUCCESS","2022-01-11T21:23:37.290Z[Europe/London]","0.0","0.14"
